 2925  2926  13.225053  -0.640245  13.227450  -0.638670  0.0349 -0.1989  0.0349 -0.1989 11.59  1.70 13.91  2.77 222 576 1  0.0162   10.3  56.8 2 0
 2928  2931  13.219980  -8.944440  13.231673  -8.925548 -0.0967 -0.2371 -0.1021 -0.2382 15.80  3.70 10.01  1.35 555 121 1  0.0055   79.7  31.4 2 0
 2963  2964  13.380190   0.086090  13.380190   0.086090  0.1420 -0.0220  0.1420 -0.0220 18.72  2.35 19.28 -9.00 886 886 2  0.0000    2.0 300.0 0 0
 2989  2990  13.532780  26.233710  13.532780  26.233710  0.0441 -0.3104  0.0441 -0.3104 15.07  2.56 15.07  2.56 555 555 2  0.0000    1.0 270.0 2 0
 3252  3253  14.791560 -12.184580  14.794530 -12.185310  0.0370 -0.1870  0.0480 -0.1740 18.00  2.57 19.19  2.67 555 886 2  0.0170   10.8 104.1 1 0
 3306  3307  15.091684  -1.404315  15.093045  -1.401229 -0.1014 -0.1619 -0.1014 -0.1619 14.96  4.39 13.43  3.09 566 566 1  0.0024   12.1  23.8 0 0
 3377  3378  15.429820  -6.875810  15.433600  -6.883240 -0.1042 -0.2459 -0.1041 -0.2416 13.13  3.44 14.07  3.71 555 555 1  0.0043   30.0 153.2 2 0
 3407  3411  15.520550 -15.267160  15.513830 -15.262420  0.2640 -0.0360  0.2205 -0.0400  9.66 -9.00 12.10  2.50 886 555 1  0.0437   28.9 306.2 1 0
 3437  3438  15.719639  47.047181  15.722870  47.050820  0.3963 -0.1770  0.3963 -0.1770 10.81  2.56 14.07  4.69 111 576 1  0.0177   15.3  31.2 2 0
 3462  3463  15.809027  20.097801  15.809558  20.098381  0.6700  0.0415  0.6718  0.0445 12.24  4.59 12.97  5.32 333 333 1  0.0035    2.0  28.0 2 0
 3481  3482  15.925360  40.854410  15.925360  40.854410  0.1244 -0.1648  0.1244 -0.1648 12.99  3.81 12.99  3.81 555 555 1  0.0000    1.5  90.0 2 0
 3526  3545  16.063090  33.954460  16.131890  33.854720  0.1685 -0.0341  0.1675 -0.0496 18.97  4.01 16.47  4.13 555 555 1  0.0155  413.7 150.2 3 0
 3528  3529  16.053390  22.945440  16.055650  22.945580  0.3020 -0.0702  0.3020 -0.0702 15.69  3.97 15.02  3.47 566 566 1  0.0000    7.0  90.0 2 0
 3570  3572  16.235310  21.333020  16.241400  21.338370 -0.2058 -0.4316 -0.2120 -0.4249 17.69  1.16 17.91  1.21 555 555 3  0.0091   30.5  66.9 2 0
 3590  3591  16.353100  25.229970  16.353100  25.229970 -0.2269 -0.0834 -0.2269 -0.0834 13.87  2.84 13.87  2.84 555 555 1  0.0000    2.5 160.0 2 0
 3597  3598  16.374641  15.390058  16.373963  15.388499  0.0085 -0.1964  0.0061 -0.1939  9.24  2.13  9.93  2.79 333 333 1  0.0035    6.5 198.0 2 0
 3641  3642  16.624750  33.604110  16.624830  33.604460  0.2561 -0.1007  0.2615 -0.0739 15.10  3.43 15.10  4.27 555 555 1  0.0273    3.0  20.0 2 0
 3662  3663  16.595130 -30.917910  16.593790 -30.926740 -0.0980 -0.1888 -0.0958 -0.1879 12.97  1.99 14.58  2.55 555 555 1  0.0024   32.1 187.4 2 0
 3676  3689  16.660990  -9.959360  16.706680  -9.989950  0.2224 -0.0468  0.2220 -0.0407 13.97  3.33 12.37  2.55 555 555 1  0.0061  195.9 124.2 2 0
 3723  3725  16.907806  22.954977  16.910540  22.955880  0.1017 -0.4916  0.1017 -0.4916  8.41  2.01 14.67  5.18 121 576 1  0.0000   10.0  74.0 2 0
 3833  3834  17.307540 -12.340420  17.307540 -12.340420  0.2436 -0.0501  0.2436 -0.0501 12.45  2.40 15.31  3.07 555 576 1  0.0000    2.0 265.0 1 0
 3847  3849  17.370700  -5.123710  17.372270  -5.125180  0.7431  0.0443  0.7431  0.0443 13.43  1.78 15.91  4.19 555 576 2  0.0000    8.0 133.0 2 0
